Type,Policy ID,Policy Name,Policy Category ID,Policy Category Name,Policy Target All Computers,Policy Target Computer ID,Policy Target Computer Name,Policy Target Group ID,Policy Target Group Name,Policy Target Group is Smart,Policy Exclusion Computer ID,Policy Exclusion Computer Name,Policy Exclusion Group id,Policy Exclusion Group Name,Policy Exclusion Group is Smart,Policy Package ID,Policy Package Name,Policy Package Category Name,Policy Package Filename,Policy Script ID,Policy Script Name,Policy Script Category Name,Policy Script Filename,Configuration Profile ID,Configuration Profile Name,Configuration Profile Category ID,Configuration Profile Category Name,Configuration Profile Target Computer ID,Configuration Profile Target Computer Name,Configuration Profile Target Group ID,Configuration Profile Target Group Name,Configuration Profile Target Group is Smart,Configuration Profile Exclusion Group id,Configuration Profile Exclusion Group Name,Configuration Profile Exclusion Group is Smart,Policy Scripts ID,Policy Scripts Name
Policy,2,Join Domain Binding (Quintiles) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy,5,Gather Logs,36,"""DIY Support""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,5,Gather Logs,36,"""DIY Support""",,,,,,,,,,,,,,,,39,GatherLogFiles-1.0,"""DIY Support""",GatherLogFiles-1.0,,,,,,,,,,,,,,
Policy,8,QuintilesIMS.com Certificate - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,8,QuintilesIMS.com Certificate - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,61,QuintilesIMSCert-1.0.pkg,"""-MacMD""",QuintilesIMSCert-1.0.pkg,,,,,,,,,,,,,,,,,,
Policy,12,McAfee ENS 10.6.8 - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,12,McAfee ENS 10.6.8 - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,216,McAfeeENS10.6.8.pkg,"""-McAfee""",McAfeeENS10.6.8.pkg,,,,,,,,,,,,,,,,,,
Policy,13,Rename Computer (IMS) - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,13,Rename Computer (IMS) - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,234,RenameComputerIMS-2.0,"""-Enrollment""",RenameComputerIMS-2.0,,,,,,,,,,,,,,
Policy,14,Apple Enterprise Connect Launch Script (internal.imsglobal.com),2,"""-Apple""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,14,Apple Enterprise Connect Launch Script (internal.imsglobal.com),2,"""-Apple""",,,,7,Policy-Apple Enterprise Connect First Launch (internal.imsglobal.com),True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,14,Apple Enterprise Connect Launch Script (internal.imsglobal.com),2,"""-Apple""",,,,,,,,,427,Global-MacMD Catalina Computers above & on IMS Domain,True,,,,,,,,,,,,,,,,,,,,,,
Scripts,14,Apple Enterprise Connect Launch Script (internal.imsglobal.com),2,"""-Apple""",,,,,,,,,,,,,,,,27,LaunchEnterpriseConnect-1.1,"""-Apple""",LaunchEnterpriseConnect-1.1,,,,,,,,,,,,,,
Policy,15,Check for Approved Apple Updates,36,"""DIY Support""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,15,Check for Approved Apple Updates,36,"""DIY Support""",,,,10,Policy-Check For Approved Apple Updates,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripts,15,Check for Approved Apple Updates,36,"""DIY Support""",,,,,,,,,,,,,,,,23,InstallAppleUpdates-1.1,"""-Apple""",InstallAppleUpdates-1.1,,,,,,,,,,,,,,
Policy,18,McAfee Agent 5.6.5 - Enrollment,10,"""-Enrollment""",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packages,18,McAfee Agent 5.6.5 - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,234,McAfeeInstallAgent5.6.5.pkg,"""-McAfee""",McAfeeInstallAgent5.6.5.pkg,,,,,,,,,,,,,,,,,,
Scripts,18,McAfee Agent 5.6.5 - Enrollment,10,"""-Enrollment""",,,,,,,,,,,,,,,,188,McAfee Agent Install,"""-McAfee""",McAfee Agent Install,,,,,,,,,,,,,,
Policy,20,Apple Updates Check - General Availability,2,"""-Apple""",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computer Group,20,Apple Updates Check - General Availability,2,"""-Apple""",,,,29,Policy-Apple Updates General Availability,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,20,Apple Updates Check - General Availability,2,"""-Apple""",False,,,,,,2214,INBGL1WLX47614,,,,,,,,,,,,,,,,,,,,,,,,,
Target Computers,20,Apple Updates Check - General Availability,2,"""-Apple""",False,,,,,,2406,INBGL3WLX22973,,,,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,20,Apple Updates Check - General Availability,2,"""-Apple""",,,,,,,,,400,Global-MacMD Big Sur Computers,True,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,20,Apple Updates Check - General Availability,2,"""-Apple""",,,,,,,,,331,Static-Global-MacOS Beta testers,False,,,,,,,,,,,,,,,,,,,,,,
Exclusion Computer Groups,20,Apple Updates Check - General Availability,2,"""-Apple""",,,,,,,,,68,Static-Policy-Apple Updates Exclusions,False,,,,,,,,,,,,,,,,,,,,,,
